image_name,captions,Generated,Gemini_generated
65.jpg,"['মঞ্চে নিত্য পরিবেষণ করছে একজন মেয়ে ।', 'মঞ্চে নিত্যমগ্ন একটি মেয়ে ।', 'নিত্য পরিবেষণে মগ্ন সুসজ্জিত একজন রমণী ।', 'মঞ্চ নিত্য পরিবেষণ ।', 'মঞ্চে নিত্য পরিবেষণ করছে একজন নর্তকী ।']","Q: 'মঞ্চে কি ধরনের পরিবেষণ করছে এই মেয়েটি?'
A: 'মেয়েটি মঞ্চে নৃত্য পরিবেষণ করছে।'"," Q: মঞ্চে নিত্য পরিবেশণ করছে কে ?
A: মঞ্চে নিত্য পরিবেশণ করছে একজন নর্তকী ।"
145.jpg,"['কিছু ফুল গাছ দেখা যাচ্ছে ।', 'ঘাসের উপর কিছু ফুল গাছ দেখা যাচ্ছে ।', 'কিছু গাঁদা ফুল গাছ দেখা যাচ্ছে ।', 'গাঁদা ফুল গাছ দেখা যাচ্ছে ।', 'ঘাসের উপর ফুল গাছ দেখা যাচ্ছে ।']","Q: 'ছবিতে কোন ধরনের ফুল গাছ দেখা যাচ্ছে?'
A: 'ছবিতে গাঁদা ফুলের গাছ দেখা যাচ্ছে।'"," Q: ছবিটিতে কি দেখা যাচ্ছে?
A: ছবিটিতে গাঁদা ফুলের গাছ দেখা যাচ্ছে।"
181.jpg,"['একটি ছায়া দেখা যাচ্ছে ।', 'একটি ছায়া হাত উপরে করে দাঁড়িয়ে আছে ।', 'একটি ছেলের ছায়া দেখা যাচ্ছে ।', 'ছায়ার মধ্যে একটি ছেলে দেখা যাচ্ছে ।', 'ছায়ার মধ্যে শার্ট পরা একটি ছেলে দেখা যাচ্ছে ।']","Q: 'ছবিতে দেখা যাচ্ছে ছায়াটি কি করছে?'
A: 'ছায়াটি হাত উঠিয়ে দাঁড়িয়ে আছে।'",
184.jpg,"['একটি ছেলে দেখা যাচ্ছে ।', 'কাপড়ের পিছনে একটি ছেলে দাঁড়িয়ে আছে ।', 'একটি শার্ট পরা ছেলে দেখা যাচ্ছে ।', 'কাপড়ের পিছনে একটি ছেলে দেখা যাচ্ছে ।', 'কাপড়ের পিছনে শার্ট পরা একটি ছেলে দেখা যাচ্ছে ।']","Q: ছবিতে ছেলেটি কোন ধরনের পোশাক পরে আছে?
A: ছেলেটি একটি শার্ট পরে আছে।",
190.jpg,"['প্রাতিষ্ঠানিক একটি অনুষ্ঠান ।', 'প্রাতিষ্ঠানিক কোন একটি অনুষ্ঠান ।', 'প্রাতিষ্ঠানিক একটি অনুষ্ঠানের ছবি ।', 'প্রাতিষ্ঠানিক কোন একটি অনুষ্ঠানের ছবি ।', 'প্রাতিষ্ঠানিক একটি অনুষ্ঠান ।']","Q: 'এই ছবিতে দেখা যায় যে লোকজন কোন ধরণের অনুষ্ঠান দেখছে?'
A: 'ছবিতে লোকজন একটি ভিডিও প্রদর্শনী দেখছে, যা একটি প্রাতিষ্ঠানিক অনুষ্ঠানের অংশ।'"," Q: ছবিতে কি দেখা যাচ্ছে?
A: ছবিতে একটি প্রাতিষ্ঠানিক অনুষ্ঠান দেখা যাচ্ছে।"
205.jpg,"['একটি পাহাড় দেখা যাচ্ছে ।', 'একটি পাহাড় এর উপর কিছু গাছপালা দেখা যাচ্ছে ।', 'একটি পাহাড়ে সিঁড়ি দেখা যাচ্ছে ।', 'পাহাড়ের সিঁড়ির উপর একটি পানির বোতল দেখা যাচ্ছে ।', 'একটি পাহাড় এবং কিছু গাছপালা দেখা যাচ্ছে ।']","Q: 'ছবিতে পাহাড়ের সিঁড়ির উপর কি জিনিসটি দেখা যাচ্ছে?'
A: 'পাহাড়ের সিঁড়ির উপর একটি পানির বোতল দেখা যাচ্ছে।'"," Q: ছবিটিতে কি দেখা যাচ্ছে?
A: ছবিটিতে একটি পাহাড় দেখা যাচ্ছে। পাহাড়টির উপরে কিছু গাছপালা এবং একটি সিঁড়ি রয়েছে। সিঁড়ির উপরে একটি পানির বোতল রয়েছে। পাহাড়ের পাশে কিছু গাছপালা রয়েছে।"
219.jpg,"['বহুতল বিশিষ্ট কিছু দালান দেখা যাচ্ছে ।', 'মেঘলা আকাশের দৃশ্য দেখা যাচ্ছে ।', 'কিছু গাছপালা এবং মেঘলা আকাশের দৃশ্য দেখা যাচ্ছে ।', 'মেঘলা আকাশ এবং বহুতল বিশিষ্ট কিছু দালান দেখা যাচ্ছে ।', 'বহুতল বিশিষ্ট কিছু দালান এবং গাছপালা দেখা যাচ্ছে ।']","Q: 'ছবিতে আকাশের অবস্থা কী?'
A: 'ছবিতে আকাশ মেঘলা দেখা যাচ্ছে।'"," Q: ছবিটিতে কি দেখা যাচ্ছে?
A: ছবিটিতে মেঘলা আকাশ এবং কিছু দালান দেখা যাচ্ছে।"
220.jpg,"['কিছু নাস্তার প্লেট দেখা যাচ্ছে ।', 'একটি ফ্লোর ম্যাট এর উপর কিছু নাস্তার প্লেট দেখা যাচ্ছে ।', 'একটি ফ্লোর ম্যাট এর উপর দুটি ডেকচি এবং কিছু নাস্তার প্লেট দেখা যাচ্ছে ।', 'একটি ফ্লোর ম্যাট এর উপর কিছু নাস্তার প্লেট এবং সালাদ দেখা যাচ্ছে ।', 'একটি ফ্লোর ম্যাট এর উপর কিছু নাস্তার প্লেট এবং প্যাকেট দেখা যাচ্ছে ।']","Q: 'ছবিতে নাস্তার প্লেটগুলি কোথায় রাখা হয়েছে?'
A: 'নাস্তার প্লেটগুলি একটি ফ্লোর ম্যাট এর উপর রাখা হয়েছে।'"," Q: ছবিটিতে কি কি দেখা যাচ্ছে ?
A: ছবিটিতে একটি ফ্লোর ম্যাটের উপর কিছু নাস্তার প্লেট, দুটি ডেকচি এবং কিছু প্যাকেট দেখা যাচ্ছে।"
382.jpg,"['একটি বাটিতে অনেকগুলো পুলি পিঠা দেখা যাচ্ছে ।', 'বাটিতে পুলি পিঠা দেখা যাচ্ছে ।', 'একটি বাটিতে অনেকগুলো সুস্বাদু পুলি পিঠা দেখা যাচ্ছে ।', 'বাটিতে সুস্বাদু পুলি পিঠা দেখা যাচ্ছে ।', 'সুস্বাদু পুলি পিঠা পরিবেশিত দেখা যাচ্ছে ।']","Q: 'ছবিতে কোন ধরনের পিঠা দেখা যাচ্ছে?'
A: 'ছবিতে পুলি পিঠা দেখা যাচ্ছে।'"," Q: এটি কি?
A: এটি পুলি পিঠা।"
396.jpg,"['রাতের আলোকিত ব্যস্ত একটি রাস্তা ।', 'কৃত্রিম আলোয় আলোকিত ব্যস্ত একটি রাস্তা ।', 'রাতের আলোকিত ব্যস্ত সড়ক ।', 'কৃত্রিম আলোয় আলোকিত ব্যস্ত সড়ক ।', 'আলোকিত ব্যস্ত একটি রাস্তা ।']","Q: 'ছবিতে দেখা যাচ্ছে, রাতের বেলা যে রাস্তাটি আলোকিত ও ব্যস্ত, তা কীভাবে আলোকিত হয়েছে?'
A: 'ছবিতে দেখা যাচ্ছে যে রাস্তাটি কৃত্রিম আলোয় আলোকিত হয়েছে।'"," Q: রাতের আলোকিত ব্যস্ত এই সড়কটি কোথায় অবস্থিত?
A: এই সড়কটি ঢাকার বিমানবন্দর সড়ক।"
