filename,caption
1.png,"['তিন জন মেয়ে মানুষ আছে। এক জন দাড়িয়ে আছে আর দুই জন বসে আছে।', 'একটি হলুদ জামা পায়জামা পরা মহিলা দাড়িয়ে হাতে একটি বেত নিয়ে পিটানোর ভাব দেখাচ্ছে আর ছোট একটি মেয়ে পিছনে ব্যাগ নিয়ে বসে কাঁদছে। ']"
2.png,"['জলাশয় এ একজন ছেলে মানুষ ও একটি বাচ্চা মানুষ আছে। তাদের পিছনে সবুজ গাছ আছে।', '২ জন মানুষ যার একজন পুরুষ একটি নৌকায় দাড়িয়ে চালাচ্ছে  সাদা লুঙ্গী ছাই রঙের গেঞ্জি পরে আরেকজন ছোট ছেলে পার থেকে ধাক্কা দিচ্ছে নউকাতিকে যার পরনে ফুল প্যান্ট খালি গা। ']"
3.png,"['অনেক মেয়ে মানুষ বসে আছে।', 'একটি নীল জামা পরা মহিলা একটি নীল ল্যাপটপ এর দিকে তাকিয়ে আছে এবং পিছনে  তার দিকে বসে শারি পরে তাকিয়ে আছে অনেকগুলো মহিলা। ']"
4.png,"['অনেক মানুষ একসাথে বসে কাজ করছে।', '২ টি  ছোট ছেলে একজন শার্ট প্যান্ট  দাড়িয়ে চেয়ে আছে আরেকজন বসে গার্মেন্টস এ কাজ করছে নীল  শার্ট পরে তাদের পিছনে অনেকগুলো মহিলা বসে দাড়িয়ে কাজ করছে।  ']"
5.png,"['ছয় জন মানুষ দাড়িয়ে আছে।', '৬ জন মানুষ এলোমেলো দাড়িয়ে আছে, তাদের মাঝে ২ জন ছেলে ৪ জন পুরুষ,  তাদের একজন লুঙ্গী পরে দাড়িয়ে আছে। ']"
6.png,"['এক জন মেয়ে মানুষ মাথায় ঘোমটা দিয়ে কাজ করছে। মাটিতে বিভিন্ন রঙের মসলা আছে।', 'একটি মহিলা হালকা পানির উপরে দাড়িয়ে আছে শারি পরে, মহিলার মুখ ডানদিকে ঘুরানো, পানির রং হলুদ দেখাচ্ছে। ']"
7.png,"['আবছা অন্ধকারে এক জন মানুষ দাড়িয়ে আছে। পিছনে মানুষ গুলোর চেহারা বোঝা যাচ্ছে না।', 'একজন পুরুষ একটি কালো পাঞ্জাবী পায়জামা পরে  একটি ঢুল বাজাচ্ছে চুল এলোমেলো করে যার পিছনে কয়েকজন মহিলা , মেয়ে ঝাপসা দেখা যায় দাড়িয়ে আছে। ']"
8.png,"['তিন জন মানুষ আছে। এক জন মাথায় ছাতা ধরে আছে।', '৩ জন মানুষ চাতালে ধান নাড়া দিচ্ছে যার মাঝে একজন পুরুষ একটি কালো ছাতা এবং সাদা গেঞ্জি, লুঙ্গী পরে আছে ২ জন মহিলা শারি পরে কাজ করছে। ']"
9.png,"['খালি গায়ে একটি বাচ্চা ছাতার নিচে বসে কাজ করছে। এখানে অনেক ইটের টুকরা আছে।', 'একটি  বাচ্চা মেয়ে ইটের উপরে  বসে ইট ভাংছে তার উপরে একটি ছাতা বাধা পরনে একটি হাফ প্যান্ট । ']"
10.png,"['একজন মেয়ে মানুষ শাড়ি পরে দাড়িয়ে আছে। পেছনে একটি ঘর আছে।', 'একটি মহিলা শারি পরে হাতে একটি ব্যাগ নিয়ে দাড়িয়ে আছে তার কপালে একটি লাল টিপ মাথায় শারি কাপড় দিয়ে রাখা। ']"
